İl Toplam CHP DP BĞMZ İl Toplam CHP DP BĞMZ
Ağrı 5 0 0 5 0 Kayseri 11 0 0 11 0
Amasya 6 0 0 6 0 Kırklareli 6 0 0 6 0
Ankara 27 27 0 0 0 Kırşehir 4 0 4 0 0
Antalya 9 0 0 9 0 Kocaeli 6 0 0 6 0
Artvin 5 0 0 5 0 Konya 21 0 0 21 0
Aydın 11 0 0 11 0 Kütahya 8 0 0 8 0
Balıkesir 15 0 0 15 0 Malatya 9 9 0 0 0
Bilecik 4 0 0 4 0 Manisa 14 0 0 14 0
Bingöl 3 1 0 2 0 Maraş 9 9 0 0 0
Bitlis 3 0 0 3 0 Mardin 8 8 0 0 0
Bolu 8 0 0 8 0 Muğla 7 0 0 7 0
Burdur 4 0 0 0 4 Muş 4 1 0 3 0
Bursa 15 0 0 15 0 Nevşehir 4 0 0 4 0
Çanakkale 8 0 0 8 0 Niğde 7 6 0 1 0
Çankırı 6 6 0 0 0 Ordu 10 10 0 0 0
Çorum 10 0 0 10 0 Rize 6 0 0 6 0
Denizli 9 0 0 9 0 Sakarya 8 0 0 8 0
Diyarbakır 9 0 0 9 0 Samsun 14 0 0 14 0
Edirne 6 0 0 6 0 Siirt 5 0 0 5 0
Elazığ 6 6 0 0 0 Sinop 6 0 0 6 0
Erzincan 6 6 0 0 0 Sivas 15 15 0 0 0
Erzurum 13 0 0 13 0 Tekirdağ 6 0 0 6 0
Eskişehir  0 0 8 0 Tokat 10 10 0 0 0
Gaziantep 10 0 0 10 0 Trabzon 12 0 0 12 0
Giresun 8 0 0 8 0 Tunceli 3 3 0 0 0
Gümüşhane 6 6 0 0 0 Urfa 9 9 0 0 0
Hakkari 1 0 0 1 0 Uşak 4 4 0 0 0
Hatay 9 9 0 0 0 Van 5 5 0 0 0
Isparta 5 0 0 5 0 Yozgat 9 0 0 9 0
İçel 9 0 0 9 0 Zonguldak 12 0 0 12 0
İstanbul 39 0 0 39 0

İl Toplam AP CHP CKMP YTP İl Toplam AP CHP CKMP YTP
Toplam 450 158 173 54 65
Adana 12 7 5 0 0 İzmir 17 10 7 0 0
Adıyaman 4 0 2 0 2 Kars 9 2 4 0 3
Afyon 7 2 2 3 0 Kastamonu 7 0 2 2 3
Ağrı 3 0 0 3 0 Kayseri 8 4 4 0 0
Amasya 4 2 2 0 0 Kırklareli 4 0 2 0 2
Ankara 21 4 8 8 1 Kırşehir 3 0 0 3 0
Antalya 7 5 2 0 0 Kocaeli 5 3 2 0 0
Artvin 3 2 1 0 0 Konya 16 4 6 4 2
Aydın 8 6 2 0 0 Kütahya 6 2 2 2 0
Balıkesir 11 7 4 0 0 Malatya 6 0 5 0 1
Bilecik 2 2 0 0 0 Manisa 11 7 4 0 0
Bingöl 2 0 0 0 2 Maraş 6 4 2 0 0
Bitlis 2 0 1 0 1 Mardin 6 0 3 1 2
Bolu 6 1 2 1 2 Muğla 5 3 2 0 0
Burdur 3 1 2 0 0 Muş 3 0 0 0 3
Bursa 11 8 3 0 0 Nevşehir 3 0 0 3 0
Çanakkale 5 2 2 0 1 Niğde 5 1 2 2 0
Çankırı 4 0 0 4 0 Ordu 8 2 4 0 2
